ID,lat,long
1066,17.5,70
1067,15,70
1068,12.5,70
1069,10,70
1070,7.5,70
1071,5,70
1072,2.5,70
1073,0,70
1074,90,72.5
1075,87.5,72.5
1076,85,72.5
1077,82.5,72.5
1078,80,72.5
1079,77.5,72.5
1080,75,72.5
1081,72.5,72.5
1082,70,72.5
1083,67.5,72.5
1084,65,72.5
1085,62.5,72.5
1086,60,72.5
1087,57.5,72.5
1088,55,72.5
1089,52.5,72.5
1090,50,72.5
1091,47.5,72.5
1092,45,72.5
1093,42.5,72.5
1094,40,72.5
1095,37.5,72.5
1096,35,72.5
1097,32.5,72.5
1098,30,72.5
1099,27.5,72.5
1100,25,72.5
1101,22.5,72.5
1102,20,72.5
1103,17.5,72.5
1104,15,72.5
1105,12.5,72.5
1106,10,72.5
1107,7.5,72.5
1108,5,72.5
1109,2.5,72.5
1110,0,72.5
1111,90,75
1112,87.5,75
1113,85,75
1114,82.5,75
1115,80,75
1116,77.5,75
1117,75,75
1118,72.5,75
1119,70,75
1120,67.5,75
1121,65,75
1122,62.5,75
1123,60,75
1124,57.5,75
1125,55,75
1126,52.5,75
1127,50,75
1128,47.5,75
1129,45,75
1130,42.5,75
1131,40,75
1132,37.5,75
1133,35,75
1134,32.5,75
1135,30,75
1136,27.5,75
1137,25,75
1138,22.5,75
1139,20,75
1140,17.5,75
1141,15,75
1142,12.5,75
1143,10,75
1144,7.5,75
1145,5,75
1146,2.5,75
1147,0,75
1148,90,77.5
1149,87.5,77.5
1150,85,77.5
1151,82.5,77.5
1152,80,77.5
1153,77.5,77.5
1154,75,77.5
1155,72.5,77.5
1156,70,77.5
1157,67.5,77.5
1158,65,77.5
1159,62.5,77.5
1160,60,77.5
1161,57.5,77.5
1162,55,77.5
1163,52.5,77.5
1164,50,77.5
1165,47.5,77.5
1166,45,77.5
1167,42.5,77.5
1168,40,77.5
1169,37.5,77.5
1170,35,77.5
1171,32.5,77.5
1172,30,77.5
1173,27.5,77.5
1174,25,77.5
1175,22.5,77.5
1176,20,77.5
1177,17.5,77.5
1178,15,77.5
1179,12.5,77.5
1180,10,77.5
1181,7.5,77.5
1182,5,77.5
1183,2.5,77.5
1184,0,77.5
1185,90,80
1186,87.5,80
1187,85,80
1188,82.5,80
1189,80,80
1190,77.5,80
1191,75,80
1192,72.5,80
1193,70,80
1194,67.5,80
1195,65,80
1196,62.5,80
1197,60,80
1198,57.5,80
1199,55,80
1200,52.5,80
1201,50,80
1202,47.5,80
1203,45,80
1204,42.5,80
1205,40,80
1206,37.5,80
1207,35,80
1208,32.5,80
1209,30,80
1210,27.5,80
1211,25,80
1212,22.5,80
1213,20,80
1214,17.5,80
1215,15,80
1216,12.5,80
1217,10,80
1218,7.5,80
1219,5,80
1220,2.5,80
1221,0,80
1222,90,82.5
1223,87.5,82.5
1224,85,82.5
1225,82.5,82.5
1226,80,82.5
1227,77.5,82.5
1228,75,82.5
1229,72.5,82.5
1230,70,82.5
1231,67.5,82.5
1232,65,82.5
1233,62.5,82.5
1234,60,82.5
1235,57.5,82.5
1236,55,82.5
1237,52.5,82.5
1238,50,82.5
1239,47.5,82.5
1240,45,82.5
1241,42.5,82.5
1242,40,82.5
1243,37.5,82.5
1244,35,82.5
1245,32.5,82.5
1246,30,82.5
1247,27.5,82.5
1248,25,82.5
1249,22.5,82.5
1250,20,82.5
1251,17.5,82.5
1252,15,82.5
1253,12.5,82.5
1254,10,82.5
1255,7.5,82.5
1256,5,82.5
1257,2.5,82.5
1258,0,82.5
1259,90,85
1260,87.5,85
1261,85,85
1262,82.5,85
1263,80,85
1264,77.5,85
1265,75,85
1266,72.5,85
1267,70,85
1268,67.5,85
1269,65,85
1270,62.5,85
1271,60,85
1272,57.5,85
1273,55,85
1274,52.5,85
1275,50,85
1276,47.5,85
1277,45,85
1278,42.5,85
1279,40,85
1280,37.5,85
1281,35,85
1282,32.5,85
1283,30,85
1284,27.5,85
1285,25,85
1286,22.5,85
1287,20,85
1288,17.5,85
1289,15,85
1290,12.5,85
1291,10,85
1292,7.5,85
1293,5,85
1294,2.5,85
1295,0,85
1296,90,87.5
1297,87.5,87.5
1298,85,87.5
1299,82.5,87.5
1300,80,87.5
1301,77.5,87.5
1302,75,87.5
1303,72.5,87.5
1304,70,87.5
1305,67.5,87.5
1306,65,87.5
1307,62.5,87.5
1308,60,87.5
